c Random 3-SAT instance
c alpha = 8.5, N = 75, L = 637, instance = 36
p cnf 75 637
-71 -51 -45 0
62 1 2 0
-28 -35 52 0
-25 -75 -37 0
-8 -5 28 0
49 -37 17 0
17 -74 61 0
-67 9 57 0
18 47 -53 0
-70 -28 9 0
72 34 -8 0
-42 -28 35 0
-36 -49 30 0
23 54 -73 0
-36 -7 32 0
-68 -47 -57 0
43 53 51 0
-42 -43 -25 0
-42 18 -21 0
28 64 -54 0
-35 -53 -24 0
5 -62 -61 0
-53 -42 73 0
-11 -47 -42 0
2 -38 -47 0
-35 -29 -6 0
41 -26 5 0
48 -60 30 0
9 55 -46 0
52 31 -21 0
-40 25 66 0
-14 -34 1 0
75 -28 40 0
40 -57 -70 0
30 -6 -9 0
-66 -53 -23 0
-74 67 -61 0
30 -34 -43 0
29 -48 -12 0
16 -61 -36 0
-17 42 -58 0
-43 -73 -27 0
70 -9 6 0
21 14 48 0
-51 -33 -69 0
-22 57 36 0
-3 -48 62 0
20 4 -31 0
-63 70 29 0
-44 4 55 0
56 -55 -18 0
-7 24 -63 0
13 56 72 0
10 -37 54 0
51 10 15 0
-10 20 47 0
-27 -14 11 0
-68 39 -37 0
33 63 -15 0
-72 50 64 0
46 -38 57 0
64 59 -47 0
55 -11 -58 0
-21 6 58 0
19 -37 47 0
-31 39 -41 0
53 20 37 0
-60 -23 -57 0
-15 40 42 0
-50 -25 73 0
-55 67 42 0
36 -40 47 0
-75 -52 12 0
27 24 -6 0
-49 -56 27 0
-40 -51 -75 0
27 -9 26 0
-60 32 7 0
-71 -23 -58 0
-33 -34 -24 0
-9 51 20 0
-67 -52 5 0
-39 -36 -55 0
49 27 5 0
11 -14 71 0
38 49 -51 0
-71 3 -68 0
58 20 37 0
-34 -37 -10 0
37 43 23 0
46 25 -9 0
13 -45 7 0
-31 -2 -53 0
41 14 66 0
47 75 1 0
-16 -31 -21 0
-14 27 -59 0
-11 56 23 0
71 -18 -59 0
-64 -47 25 0
61 25 7 0
14 -42 26 0
44 -41 66 0
58 11 -61 0
50 -62 73 0
63 -14 52 0
-9 -18 -51 0
-24 59 42 0
-39 -54 -52 0
39 5 10 0
-50 -24 -52 0
-7 -54 15 0
-60 -45 -44 0
-56 50 -35 0
-59 36 -50 0
-61 29 45 0
-48 72 64 0
-35 62 -50 0
12 -14 55 0
27 5 68 0
-74 45 -2 0
44 54 -16 0
55 -5 -27 0
24 39 55 0
32 -8 -56 0
-3 19 -68 0
7 40 -23 0
2 31 61 0
-50 -4 11 0
19 42 41 0
-14 20 -40 0
-67 75 53 0
-61 75 6 0
34 41 -4 0
-72 -2 58 0
-4 37 -41 0
-44 -20 -17 0
-64 -31 -5 0
67 75 -68 0
-13 -7 11 0
3 33 -66 0
-35 11 34 0
-5 26 14 0
65 -18 -39 0
-9 -46 -72 0
43 -1 -36 0
-16 56 -35 0
-59 -67 6 0
55 -4 -37 0
-30 6 -33 0
73 8 -61 0
-31 22 24 0
66 63 60 0
-21 -63 53 0
27 47 -52 0
37 -48 13 0
-15 -71 61 0
37 33 -45 0
-71 53 -75 0
1 -10 -23 0
-21 -26 -9 0
2 -34 22 0
-40 -70 -45 0
-6 -33 -68 0
-34 -33 25 0
23 40 64 0
71 8 9 0
27 -64 -44 0
-41 -71 52 0
37 75 67 0
-61 -40 -71 0
53 2 8 0
65 23 27 0
-61 -4 -33 0
63 -26 -3 0
-68 -75 2 0
17 -57 -35 0
60 -11 -35 0
57 -52 -50 0
-21 10 -63 0
68 52 -44 0
41 15 -19 0
-75 -23 55 0
-29 72 12 0
19 28 -38 0
55 42 19 0
10 58 -27 0
-47 63 -49 0
14 4 26 0
6 -12 54 0
-71 9 62 0
3 44 66 0
-70 -37 22 0
-74 37 -11 0
23 74 47 0
-57 15 -69 0
-2 -65 3 0
-32 -14 38 0
-55 32 -53 0
37 72 44 0
28 -12 73 0
41 32 -4 0
-66 74 35 0
-18 -59 62 0
10 -7 15 0
-6 -49 55 0
-3 -4 52 0
-2 63 20 0
-16 68 75 0
13 71 40 0
-47 -8 42 0
59 -23 -25 0
-49 -56 -50 0
-24 -75 -74 0
15 -33 61 0
-59 -36 -72 0
25 -30 22 0
-73 43 15 0
-54 -17 -36 0
-34 45 36 0
-15 18 68 0
-54 -46 -27 0
40 43 63 0
41 -67 -23 0
-31 61 -74 0
62 55 48 0
-58 -3 75 0
56 54 6 0
-47 -26 43 0
3 -57 -12 0
-46 73 -53 0
-40 -43 -49 0
28 52 67 0
-52 41 65 0
60 61 -20 0
31 49 65 0
-28 -46 -2 0
14 -34 -25 0
-31 -62 56 0
-74 64 -47 0
-75 -15 53 0
32 45 51 0
8 -71 35 0
70 -47 33 0
-16 18 21 0
-72 47 -45 0
31 -28 -46 0
43 19 -34 0
74 61 -18 0
75 45 -5 0
69 75 -14 0
15 -40 -27 0
-53 19 -7 0
51 -58 -28 0
-72 -32 37 0
-58 -54 -57 0
-9 16 54 0
-15 -66 70 0
63 -7 -39 0
45 -20 -26 0
47 -18 8 0
-1 60 -62 0
-27 -56 70 0
-8 -38 53 0
-38 57 42 0
60 74 -23 0
24 -10 -3 0
50 71 39 0
-75 -1 -36 0
-68 54 17 0
-23 -43 -26 0
-15 41 -14 0
65 -35 44 0
33 53 15 0
-7 50 60 0
-37 30 45 0
50 -55 69 0
-31 5 -23 0
40 -13 -12 0
-14 -51 39 0
-6 -72 -37 0
28 -71 10 0
29 -43 -8 0
-20 74 47 0
-61 -66 53 0
-40 29 -69 0
54 4 -29 0
55 -41 -60 0
68 48 -70 0
-44 12 -1 0
-63 22 -36 0
38 54 5 0
68 53 -73 0
16 -8 22 0
-18 69 -38 0
63 27 -3 0
41 -18 58 0
10 -24 -42 0
-1 20 46 0
-36 -3 42 0
-6 -23 66 0
52 19 35 0
55 24 -26 0
-32 27 -6 0
-65 -56 -6 0
6 63 41 0
69 -37 43 0
67 -23 -69 0
43 -4 -39 0
4 23 21 0
22 3 24 0
35 -9 -20 0
36 64 -10 0
49 -75 -16 0
-18 39 -32 0
52 70 31 0
41 -56 -55 0
-33 27 49 0
47 -1 46 0
-18 -47 41 0
11 14 46 0
8 6 23 0
43 -49 -3 0
39 -12 3 0
7 -68 -47 0
-22 44 -55 0
21 -39 62 0
-1 -14 -5 0
-64 9 2 0
-3 64 21 0
3 -31 -14 0
-10 3 -47 0
-55 -15 -41 0
64 8 24 0
37 -8 -35 0
26 -43 10 0
-30 -34 65 0
48 -49 14 0
-14 -1 -63 0
-16 -17 -35 0
-62 58 23 0
-26 -58 -13 0
-39 -6 -47 0
-44 -34 -3 0
73 45 -18 0
-18 -28 42 0
-14 -60 -9 0
-65 12 49 0
-11 -36 -19 0
-9 72 -36 0
2 1 -27 0
-1 -71 73 0
52 1 -7 0
-74 -14 72 0
-22 -1 44 0
-62 -12 18 0
19 54 28 0
-7 -34 -36 0
12 -21 -5 0
42 -28 39 0
-70 -58 49 0
-58 -60 -21 0
27 73 -51 0
-24 34 -11 0
-62 12 -44 0
25 -14 -5 0
9 -24 -31 0
27 -39 -69 0
-29 21 65 0
-54 20 -67 0
-63 -55 -13 0
-9 -6 43 0
69 57 48 0
54 -25 19 0
42 -8 -22 0
26 -8 20 0
52 47 -41 0
47 -39 19 0
-36 25 55 0
-31 -41 48 0
44 -42 4 0
44 -66 56 0
75 33 28 0
-61 37 20 0
-71 54 34 0
-72 -75 -21 0
64 45 56 0
61 30 -64 0
-46 34 -55 0
-6 -11 55 0
39 34 65 0
66 -51 63 0
-22 -62 -70 0
2 -28 -18 0
-12 39 -47 0
-49 -71 -51 0
-74 72 -13 0
74 47 31 0
-47 -31 2 0
37 6 18 0
-18 -41 -44 0
-53 -11 64 0
42 -3 12 0
56 51 -53 0
11 -56 -6 0
-65 -22 75 0
61 14 -25 0
-64 -65 68 0
30 69 -11 0
-3 -21 -31 0
15 -39 38 0
-39 29 -1 0
-37 4 19 0
21 4 -53 0
5 -16 -71 0
42 62 69 0
43 20 -55 0
27 -30 -66 0
-34 55 22 0
33 -71 38 0
50 4 -70 0
59 -52 -2 0
-11 16 10 0
-10 29 42 0
9 -26 -3 0
-68 -67 -17 0
-33 35 -36 0
24 59 -11 0
-6 17 -47 0
-15 37 -10 0
60 -73 -69 0
-55 -43 61 0
14 11 -60 0
47 -51 -36 0
-47 -26 23 0
1 -57 -46 0
22 3 -49 0
19 54 24 0
-4 -21 -18 0
-32 -25 73 0
-7 -54 65 0
-22 30 9 0
51 1 -50 0
59 48 23 0
5 67 35 0
49 -2 57 0
23 -31 52 0
66 -24 -71 0
44 70 -25 0
35 25 -21 0
-39 73 -48 0
10 62 -14 0
21 -22 -37 0
-51 -74 72 0
26 -9 18 0
-17 -43 52 0
-28 -22 -62 0
-59 -16 22 0
49 33 -8 0
-41 28 -55 0
42 -44 2 0
72 -1 -13 0
53 38 -25 0
-16 20 -70 0
-45 -27 -68 0
-15 45 -2 0
-54 -29 47 0
4 -56 71 0
16 73 17 0
-13 -58 -61 0
25 -17 14 0
-44 65 -35 0
-33 49 50 0
23 -29 -67 0
25 -63 66 0
56 -17 60 0
-26 61 8 0
-10 -24 65 0
65 -57 -22 0
36 38 28 0
32 -12 -41 0
3 73 -8 0
-15 68 62 0
-45 -5 -48 0
70 56 -71 0
-6 -58 41 0
14 38 55 0
-3 26 -15 0
41 -34 -3 0
-49 41 26 0
5 23 24 0
-71 -37 68 0
-48 54 -51 0
34 63 -33 0
4 10 54 0
24 72 46 0
-41 -75 70 0
16 34 73 0
-40 19 7 0
44 70 -1 0
64 13 -68 0
-13 -9 1 0
16 -38 -48 0
-7 9 -64 0
-17 -61 -20 0
29 -72 32 0
28 52 32 0
-34 4 -24 0
-3 -1 -69 0
-44 -35 4 0
42 -65 16 0
3 21 -16 0
26 -64 -71 0
54 -35 -14 0
50 43 62 0
-10 -59 -2 0
-65 -48 25 0
-25 -48 -34 0
74 -69 -2 0
-65 59 9 0
46 35 63 0
67 -32 34 0
-56 -17 43 0
20 -41 -37 0
-45 -17 21 0
24 22 28 0
-58 34 -59 0
-42 -7 8 0
60 26 -41 0
15 -71 17 0
42 -41 2 0
-73 -53 -19 0
-15 -59 70 0
-21 -56 -32 0
17 69 74 0
3 45 -9 0
65 1 33 0
74 -5 -38 0
-9 -63 14 0
-51 -20 32 0
-52 -70 -22 0
-70 63 -22 0
-35 -27 29 0
-31 74 -69 0
-57 -39 -68 0
-52 -22 40 0
-22 -59 -13 0
-5 26 21 0
-56 -11 49 0
-21 64 -9 0
-70 -27 -6 0
30 26 -19 0
8 72 -14 0
-1 -36 2 0
-68 -14 3 0
-3 68 16 0
13 47 -34 0
39 29 13 0
1 -48 -55 0
-62 -3 -37 0
-33 -43 -71 0
-55 -49 -10 0
63 -21 61 0
-49 -37 36 0
23 -63 -16 0
-54 36 -19 0
-14 -38 17 0
49 -20 -42 0
-56 -57 -52 0
-58 -62 -40 0
7 30 58 0
-1 26 67 0
-15 -33 -69 0
-64 49 -2 0
-13 9 -36 0
-44 -49 -41 0
59 -61 -21 0
63 -65 45 0
-19 58 24 0
5 40 -47 0
18 -29 32 0
-69 51 -52 0
-3 53 63 0
47 -57 15 0
-51 -9 -66 0
-60 -56 -8 0
72 27 -21 0
-26 -67 -37 0
61 -35 -30 0
53 -36 22 0
21 27 -48 0
27 -4 45 0
57 24 -11 0
-42 27 -65 0
43 -22 24 0
-63 -35 41 0
-23 2 -68 0
41 -39 -66 0
33 -63 66 0
-56 -62 -11 0
7 26 -38 0
1 55 -13 0
-36 -63 14 0
7 -32 -40 0
-19 -16 -7 0
-1 -38 -41 0
-46 -1 -35 0
12 -10 -50 0
21 61 -15 0
-22 -23 -19 0
-39 -56 45 0
-16 67 45 0
53 71 -33 0
35 -43 28 0
12 64 -38 0
-5 -30 -26 0
-14 -27 -65 0
-70 -51 5 0
8 9 50 0
-11 -9 37 0
-34 -27 29 0
-48 41 14 0
38 39 72 0
27 -39 -52 0
-50 59 15 0
-18 5 -70 0
2 -43 -9 0
58 48 43 0
39 43 -49 0
-28 52 -44 0
64 -44 -9 0
52 25 -43 0
-55 -4 35 0
-12 -51 26 0
35 -8 11 0
33 27 -26 0
35 -32 -9 0
s UNSATISFIABLE
d decisions 41
