c Random 3-SAT instance
c alpha = 6.5, N = 75, L = 487, instance = 58
p cnf 75 487
33 35 1 0
-30 11 -4 0
-21 49 -22 0
-7 -40 -1 0
-75 -42 -50 0
44 -29 36 0
-42 -49 -35 0
-6 48 -16 0
58 -18 -43 0
-18 9 56 0
35 -17 -18 0
-30 15 28 0
41 -51 -50 0
56 -5 33 0
-42 33 9 0
-9 37 -69 0
40 51 -45 0
39 1 32 0
-70 -34 -56 0
43 -25 59 0
-47 -60 48 0
23 -33 59 0
37 25 49 0
75 42 -33 0
-6 -67 27 0
60 -66 6 0
68 18 67 0
-45 25 44 0
10 35 -71 0
-27 53 2 0
-9 -10 2 0
46 -26 -58 0
-2 23 -31 0
-62 -22 -20 0
5 39 66 0
44 22 68 0
-12 -51 56 0
12 -13 4 0
-21 65 -48 0
-15 39 46 0
21 -75 -29 0
34 -30 -60 0
10 -1 32 0
29 17 -45 0
-47 70 -48 0
71 33 35 0
7 -62 11 0
12 -32 -34 0
50 40 45 0
29 -54 2 0
-58 49 -21 0
28 71 38 0
-8 -24 13 0
-63 -9 -16 0
19 -24 28 0
34 -22 -9 0
55 46 54 0
-48 58 31 0
46 -6 72 0
50 37 1 0
-29 41 -53 0
36 33 25 0
19 -67 41 0
30 -70 71 0
-34 -25 14 0
-31 16 -29 0
74 18 -29 0
-61 60 57 0
37 6 10 0
-22 -56 -29 0
-48 -32 -4 0
-52 19 -31 0
-50 -40 -13 0
29 -58 60 0
-6 33 41 0
61 75 72 0
53 -28 15 0
-30 -60 57 0
73 -52 -33 0
23 40 -56 0
-74 55 41 0
-65 -48 69 0
-9 64 -28 0
48 45 -62 0
-18 32 -49 0
59 73 -37 0
32 57 3 0
-53 -52 -63 0
28 9 10 0
-43 28 73 0
-28 -39 -25 0
-66 -18 31 0
-20 -14 -19 0
-73 51 54 0
9 -11 23 0
22 -52 -5 0
-9 47 32 0
-55 -20 50 0
63 -8 66 0
45 48 -10 0
65 -27 -42 0
63 55 -49 0
-36 -70 64 0
72 58 36 0
33 -4 75 0
-71 -21 68 0
-71 39 30 0
75 23 -64 0
35 58 -69 0
47 33 -62 0
-29 -2 -28 0
-58 -15 65 0
6 61 -13 0
47 51 34 0
73 63 50 0
-19 -55 36 0
-35 -16 -34 0
59 -21 -72 0
72 -33 28 0
5 26 34 0
-5 16 -23 0
-47 -23 -15 0
12 65 -4 0
-57 46 11 0
-3 52 34 0
55 42 -14 0
18 43 -59 0
-12 -28 -55 0
-6 31 -38 0
5 -3 45 0
40 29 55 0
47 -27 -7 0
-72 4 -43 0
64 28 34 0
-30 -15 -46 0
73 39 -11 0
-8 -57 56 0
31 59 45 0
-67 -75 52 0
29 -36 -60 0
1 60 42 0
-22 -75 65 0
-4 66 8 0
-64 20 41 0
-10 -65 -23 0
36 -66 27 0
66 32 20 0
-38 72 36 0
4 57 8 0
-33 -45 -39 0
15 6 42 0
-3 24 -27 0
8 70 -45 0
-1 12 6 0
-6 -20 22 0
-14 66 59 0
59 -30 65 0
-41 12 22 0
-7 61 39 0
47 56 3 0
48 47 -7 0
36 -28 46 0
-72 49 -27 0
-43 -24 -29 0
36 -72 9 0
-30 -26 -46 0
45 -22 -26 0
-62 -40 17 0
-4 -50 -57 0
-73 -64 -55 0
-55 53 19 0
22 -12 -25 0
-30 -23 -21 0
-39 -33 -20 0
68 2 -74 0
56 -59 -41 0
-30 -5 -44 0
56 34 37 0
6 31 -66 0
21 -39 -69 0
74 36 24 0
14 -39 -24 0
68 6 -73 0
-61 20 67 0
47 -8 54 0
-5 -38 35 0
-41 -49 3 0
-13 15 -55 0
59 -71 22 0
38 56 -66 0
31 -30 -12 0
-35 64 -68 0
40 52 3 0
66 51 -11 0
11 -36 -23 0
-61 -36 21 0
-74 -43 10 0
46 62 16 0
-18 -8 -43 0
6 -7 13 0
29 -64 74 0
48 -42 3 0
20 -62 37 0
64 25 53 0
29 73 -43 0
-68 -49 10 0
42 -48 53 0
47 -44 27 0
-43 -62 -20 0
58 36 -6 0
-11 47 49 0
8 2 46 0
16 17 10 0
-23 2 12 0
-61 32 75 0
9 -23 -51 0
-60 -55 13 0
-11 63 -5 0
46 13 69 0
12 59 -58 0
-71 21 69 0
42 -44 -58 0
-57 46 -73 0
58 -52 22 0
-46 -11 5 0
-75 -54 5 0
-11 -52 -66 0
-66 -7 -15 0
52 -61 -66 0
66 50 36 0
-59 71 -40 0
-58 -10 27 0
-57 -50 -59 0
-54 -1 32 0
54 -8 25 0
36 8 64 0
-33 27 35 0
40 54 -3 0
-61 67 -39 0
63 -7 -27 0
-33 37 64 0
5 -61 -41 0
16 25 65 0
-55 -9 -18 0
52 38 -29 0
2 34 -37 0
39 -45 -59 0
68 30 54 0
-12 -7 51 0
-40 61 41 0
-57 31 35 0
72 5 -12 0
61 26 -11 0
8 -34 70 0
-34 5 7 0
-24 34 -29 0
66 9 -22 0
-9 -31 26 0
