c Random 3-SAT instance
c alpha = 2.0, N = 75, L = 150, instance = 231
p cnf 75 150
15 -46 -33 0
2 21 -28 0
-1 68 34 0
-59 62 58 0
-51 -61 -41 0
42 53 -65 0
-23 19 58 0
56 -62 35 0
21 33 -74 0
56 -66 -45 0
53 56 -6 0
-55 69 10 0
1 -50 7 0
-43 -33 42 0
46 70 72 0
-47 -8 -15 0
40 -33 13 0
-51 -54 21 0
60 -66 2 0
-45 -48 53 0
-21 -18 64 0
-24 52 2 0
-17 32 -73 0
5 37 -46 0
-46 -45 39 0
20 36 33 0
-70 52 -73 0
-39 -24 -35 0
-54 55 62 0
46 -65 -73 0
-27 -13 10 0
-27 -19 45 0
-10 23 15 0
5 4 53 0
-39 -33 66 0
-5 -11 -3 0
57 -56 34 0
-19 25 31 0
43 -6 60 0
62 58 67 0
75 1 -31 0
25 29 63 0
23 41 6 0
-54 -3 58 0
41 25 65 0
30 62 -25 0
-19 -58 25 0
-50 -64 72 0
-58 -17 1 0
33 12 24 0
50 37 9 0
-22 47 65 0
-29 -26 -57 0
-39 -48 8 0
32 -67 -22 0
2 -10 40 0
50 -37 40 0
65 37 -25 0
-14 -75 -66 0
-66 -74 11 0
-30 -51 -61 0
-23 3 -7 0
12 37 -59 0
60 -73 29 0
64 66 24 0
27 13 -54 0
-31 -13 30 0
-68 65 -63 0
18 33 37 0
2 42 68 0
28 13 39 0
-15 -45 16 0
9 52 28 0
5 -72 -2 0
47 -58 21 0
-31 -55 18 0
-43 -15 -32 0
-46 51 -33 0
64 24 18 0
1 -64 4 0
-2 -61 52 0
-16 33 -17 0
-45 2 71 0
-11 -10 1 0
-31 -71 75 0
-49 -45 44 0
-16 -40 -35 0
71 50 16 0
43 -61 -5 0
-40 73 -33 0
-63 -1 43 0
-61 74 -46 0
61 20 47 0
-22 -48 -39 0
-5 12 -71 0
-70 -51 47 0
25 -67 -71 0
-61 -9 -35 0
19 -42 45 0
8 68 32 0
-55 -5 20 0
26 -22 -14 0
-25 16 48 0
-23 -67 4 0
45 57 -3 0
68 -2 -9 0
-73 -67 -47 0
45 -54 -26 0
-67 -18 -24 0
44 13 64 0
5 61 -71 0
73 -55 -34 0
5 -28 -64 0
63 75 49 0
3 -18 -69 0
-42 -12 27 0
75 55 70 0
-39 -71 14 0
-5 -48 -32 0
57 -46 25 0
-57 16 69 0
-61 9 -63 0
62 64 66 0
-14 -33 -61 0
2 -60 59 0
-74 -30 15 0
-6 -48 55 0
8 66 30 0
-54 -74 35 0
21 -19 -24 0
-47 62 40 0
43 -29 -71 0
38 31 -29 0
66 48 -46 0
73 -75 -61 0
69 2 -45 0
11 20 -30 0
-29 5 -26 0
10 62 34 0
22 -56 31 0
33 44 -45 0
-72 -14 -3 0
-27 48 63 0
53 21 72 0
-2 -27 40 0
-22 -16 34 0
-4 -2 -52 0
-17 -18 -71 0
-16 -70 15 0
-49 68 54 0
s SATISFIABLE
d decisions 44
