c Random 3-SAT instance
c alpha = 6.5, N = 75, L = 487, instance = 294
p cnf 75 487
-33 -27 50 0
-58 51 43 0
-41 57 -66 0
-16 53 -42 0
-49 -15 -38 0
59 -27 -19 0
67 -44 -17 0
67 46 -41 0
7 -74 -38 0
-71 -19 -45 0
60 54 56 0
-5 -2 -31 0
-23 -7 -68 0
-38 -42 -50 0
-45 25 -6 0
10 -21 -68 0
-7 -58 56 0
2 -12 -18 0
29 -27 2 0
22 1 -26 0
50 39 28 0
-59 26 -56 0
-13 -67 55 0
48 -67 20 0
-48 -22 -50 0
53 -25 64 0
1 9 -7 0
12 32 40 0
-30 34 53 0
40 -74 -47 0
57 -12 -64 0
-45 26 -23 0
-37 71 69 0
-15 74 -63 0
-70 -59 -72 0
56 25 -68 0
2 -7 49 0
34 -29 -25 0
2 30 1 0
51 21 -13 0
26 44 -63 0
41 65 52 0
-5 -35 -12 0
-20 -42 4 0
-57 -55 -63 0
44 53 9 0
42 -31 -40 0
69 64 -19 0
27 -65 -41 0
-17 63 29 0
-50 26 -3 0
-21 12 -25 0
49 40 -50 0
62 -16 46 0
-23 42 3 0
54 -7 -74 0
37 8 72 0
40 -51 -11 0
-69 -45 -18 0
-39 -54 -13 0
29 42 -74 0
-61 27 -66 0
73 -55 36 0
-4 65 63 0
7 68 -47 0
53 -27 62 0
41 69 -61 0
-6 -14 -57 0
46 2 48 0
-72 40 38 0
37 -72 -41 0
-57 -37 31 0
38 -7 -3 0
-68 -58 -16 0
-1 8 72 0
12 -59 3 0
-64 -34 -72 0
-31 72 -36 0
-9 6 -12 0
12 47 -70 0
-34 31 -6 0
-26 2 57 0
-64 -28 33 0
1 -8 25 0
70 14 -62 0
-54 72 -42 0
25 30 -74 0
-30 -50 -23 0
3 8 -29 0
-31 -19 -12 0
-33 -63 34 0
-60 41 -53 0
34 -72 52 0
-16 21 -32 0
-30 -22 3 0
-12 -50 72 0
6 40 -1 0
29 -48 31 0
-6 -59 -54 0
-66 44 -14 0
-29 58 5 0
52 59 -39 0
-10 -18 69 0
-20 8 39 0
22 43 -36 0
63 42 68 0
-8 74 -39 0
53 44 39 0
7 -8 30 0
-14 -61 -30 0
-45 6 47 0
-46 50 21 0
-36 16 -33 0
-6 -12 56 0
66 44 -6 0
-6 -20 3 0
11 -50 -43 0
-8 -58 25 0
42 1 71 0
70 8 14 0
-58 -34 -32 0
-53 57 8 0
-28 -39 -43 0
-49 -46 47 0
-61 -64 -54 0
-75 61 16 0
5 -42 -46 0
-21 -36 15 0
-7 -20 -36 0
-39 58 -6 0
-54 5 -27 0
16 29 58 0
44 -7 -43 0
41 -49 43 0
-8 32 24 0
45 3 54 0
72 52 -74 0
-55 -50 20 0
-29 52 -15 0
72 -55 -56 0
22 -9 46 0
-67 -38 48 0
-32 -62 53 0
-58 -10 -60 0
34 -15 -2 0
7 74 2 0
-21 68 48 0
8 60 15 0
-21 -56 32 0
67 -65 -24 0
-71 -5 67 0
48 -72 -60 0
70 74 14 0
6 35 -48 0
43 70 28 0
-61 -2 -29 0
-3 35 33 0
69 -52 -46 0
13 -9 37 0
29 59 -11 0
-33 -2 19 0
-43 37 -13 0
72 20 44 0
42 -36 -16 0
24 -41 29 0
67 -63 26 0
20 -66 43 0
-17 -5 -13 0
-3 -10 40 0
-28 -29 -52 0
59 -57 -13 0
75 -17 55 0
-34 -26 20 0
-25 50 61 0
57 -74 12 0
41 6 37 0
-20 -37 -26 0
-37 47 -16 0
50 -55 -20 0
-61 9 51 0
-31 -65 -68 0
-28 -53 -31 0
-16 -24 -34 0
73 -60 -48 0
-25 -16 49 0
66 -8 36 0
-50 38 -64 0
4 -1 -44 0
-44 72 34 0
-11 -49 -8 0
-2 -65 -64 0
55 -56 67 0
62 35 19 0
23 -45 71 0
8 11 -71 0
-52 -26 -69 0
-20 33 3 0
54 67 -1 0
-61 -36 41 0
-58 60 51 0
7 -21 2 0
9 46 11 0
24 -47 8 0
47 -43 54 0
50 -64 -61 0
3 -11 44 0
63 -2 -54 0
-60 8 -66 0
-29 -57 -70 0
-32 27 -23 0
-28 43 73 0
63 -29 51 0
58 -33 -14 0
28 -58 -18 0
-62 -53 4 0
-8 13 -33 0
-17 13 52 0
22 -65 -51 0
-56 -15 -66 0
42 56 73 0
61 29 -31 0
-43 50 -44 0
-33 -55 29 0
39 11 -5 0
-14 42 -34 0
39 -68 -3 0
35 19 69 0
-20 -5 17 0
-62 1 -37 0
31 69 55 0
-64 -29 -38 0
43 -75 -28 0
-2 72 -69 0
50 -20 -38 0
-46 -18 -72 0
