c Random 3-SAT instance
c alpha = 4.5, N = 75, L = 337, instance = 288
p cnf 75 337
41 -53 73 0
-59 55 -8 0
-48 30 -75 0
68 -70 -44 0
43 -72 5 0
30 -33 38 0
46 -50 61 0
-55 -61 -57 0
-19 -56 -5 0
-51 -23 -52 0
-52 -41 50 0
-27 6 -39 0
-29 17 72 0
27 59 -46 0
-72 56 70 0
-44 -26 67 0
-68 58 17 0
-16 -64 72 0
15 -59 -2 0
-61 -36 4 0
2 70 -61 0
29 51 74 0
64 -48 58 0
34 -41 -22 0
-57 -41 7 0
-7 29 -24 0
-58 53 39 0
-19 52 -23 0
62 21 25 0
63 16 49 0
-15 51 4 0
51 27 40 0
75 30 31 0
27 -75 -62 0
65 -72 -63 0
-55 20 -34 0
10 73 -8 0
75 57 -56 0
21 -44 18 0
15 46 -45 0
70 -44 4 0
-49 10 -48 0
-52 -27 10 0
37 -18 7 0
18 54 -73 0
42 30 24 0
8 45 -33 0
-65 23 25 0
75 18 6 0
23 21 -56 0
-3 56 -19 0
-69 53 -51 0
24 -17 27 0
-8 -21 -65 0
66 27 -44 0
-63 51 45 0
-12 63 -2 0
41 1 59 0
47 71 6 0
-72 56 57 0
-25 -35 36 0
-13 41 36 0
-65 -72 8 0
-41 63 -55 0
-24 -57 -73 0
-26 14 27 0
6 70 43 0
-27 62 14 0
3 -31 18 0
-23 19 -39 0
54 -66 -44 0
-60 -47 5 0
31 54 -65 0
-74 6 55 0
-11 52 44 0
36 13 -74 0
74 15 46 0
31 51 34 0
-17 61 -26 0
-19 -8 -74 0
-20 55 -16 0
46 -15 62 0
9 64 72 0
-42 -61 21 0
-4 59 -20 0
-24 -13 1 0
37 -11 74 0
59 -47 56 0
-30 -70 -15 0
5 47 42 0
-19 -1 23 0
13 -70 35 0
-3 -68 47 0
-54 -40 45 0
39 -10 61 0
-58 -65 -51 0
62 -24 7 0
-40 2 37 0
-32 -61 -3 0
-48 -62 -17 0
21 -27 40 0
-36 75 -41 0
5 22 -31 0
-43 -54 -48 0
-54 -73 53 0
-39 38 -71 0
-48 -22 38 0
-14 -18 31 0
62 -55 61 0
67 39 -26 0
-49 -40 38 0
56 -2 -66 0
44 -37 62 0
-54 20 -50 0
64 24 73 0
-33 -23 -32 0
50 73 14 0
5 -9 4 0
12 69 -2 0
-65 -28 74 0
-17 -49 18 0
-3 -9 46 0
-75 -46 54 0
6 -74 13 0
-5 -62 -14 0
-37 67 -14 0
75 65 49 0
41 13 63 0
72 18 -47 0
-43 -7 46 0
-19 75 61 0
4 58 -1 0
33 -26 15 0
25 36 23 0
17 43 -28 0
-58 -64 -57 0
-27 -33 -31 0
-58 47 -71 0
33 10 -14 0
38 53 26 0
4 31 -22 0
16 35 41 0
-40 66 5 0
41 67 15 0
-21 26 -48 0
-47 -66 33 0
-15 8 -71 0
40 -11 -28 0
66 -15 45 0
-37 46 -13 0
46 -64 -43 0
4 6 -22 0
-46 68 17 0
-68 -6 -54 0
-47 13 -8 0
72 39 33 0
-53 73 61 0
-5 -33 73 0
-55 32 -67 0
37 53 59 0
-30 10 -54 0
2 19 44 0
-64 48 -3 0
55 -73 -41 0
-66 -61 15 0
31 22 45 0
-59 29 -42 0
-26 -41 71 0
-10 -41 -30 0
53 -74 -66 0
-48 5 25 0
-74 -14 13 0
-35 -57 16 0
23 -63 4 0
-42 10 5 0
-28 30 38 0
37 17 38 0
32 63 -57 0
-20 7 54 0
-33 61 -16 0
75 49 -71 0
-42 -9 -48 0
-61 45 -13 0
-11 34 -20 0
70 26 -25 0
74 27 -32 0
50 62 -21 0
64 71 -29 0
51 14 21 0
-28 68 -9 0
-57 36 -41 0
61 -17 23 0
-52 -54 -40 0
59 24 -45 0
-62 27 -70 0
-70 33 6 0
-24 -39 1 0
-17 -47 35 0
-29 -33 -70 0
-22 30 -31 0
28 24 -35 0
45 72 -68 0
-13 -37 -45 0
-65 64 -33 0
6 7 35 0
-68 -66 -64 0
44 -63 51 0
-25 56 -24 0
-38 -30 -8 0
-43 -1 -67 0
66 4 -71 0
41 -19 11 0
45 68 67 0
-72 -36 21 0
21 -74 -25 0
44 18 -21 0
-10 -26 9 0
16 39 45 0
55 -25 66 0
-61 9 43 0
48 -69 18 0
-52 -32 67 0
18 -20 -35 0
42 -21 73 0
-73 37 -65 0
6 -58 -14 0
-58 54 2 0
46 60 -7 0
5 -8 -66 0
26 11 42 0
39 -24 33 0
22 36 -71 0
-25 -41 52 0
-37 -55 -42 0
53 4 -44 0
9 -46 48 0
60 47 -56 0
-65 -58 72 0
-5 44 62 0
-52 40 -23 0
7 24 -5 0
-18 -69 30 0
-30 50 27 0
53 70 17 0
5 -34 -62 0
65 66 -69 0
27 22 -11 0
13 -69 2 0
62 -36 1 0
67 -6 -17 0
30 8 -18 0
-37 -59 33 0
35 -5 -47 0
32 -15 -57 0
58 -6 -19 0
61 52 -14 0
4 73 57 0
34 32 13 0
-58 -17 -39 0
-54 43 7 0
46 -26 -4 0
20 63 -70 0
-61 -7 36 0
57 7 43 0
1 24 -67 0
-50 -38 14 0
-71 -43 -31 0
-7 29 37 0
-45 -21 35 0
-14 38 -31 0
48 -32 -42 0
-48 71 -25 0
64 -69 -71 0
3 31 -14 0
61 -66 -37 0
3 15 -36 0
38 6 2 0
-44 40 13 0
-24 1 -20 0
14 -19 -57 0
14 -35 37 0
35 11 -70 0
-23 -58 -49 0
-32 -75 44 0
-60 11 -15 0
39 30 52 0
-43 -72 -37 0
-74 -2 57 0
9 -74 3 0
16 -60 71 0
-27 24 -63 0
-35 -39 -31 0
60 -71 1 0
63 -55 47 0
-5 -54 50 0
2 -32 35 0
-50 15 74 0
50 -61 -6 0
60 -67 42 0
-50 22 69 0
31 61 74 0
36 -25 75 0
22 55 -23 0
74 66 48 0
-1 15 -39 0
60 4 68 0
49 16 53 0
-41 63 -17 0
50 61 -5 0
45 -65 8 0
75 9 49 0
-9 -67 23 0
23 70 -34 0
-52 -35 43 0
49 -33 -69 0
39 28 2 0
2 -23 37 0
34 54 -70 0
-55 -61 -48 0
38 -29 -30 0
69 3 22 0
40 3 -24 0
