c Random 3-SAT instance
c alpha = 8.0, N = 75, L = 600, instance = 58
p cnf 75 600
19 2 12 0
14 -49 -22 0
43 -69 -67 0
-3 43 51 0
62 -63 -70 0
-33 36 -53 0
-65 16 66 0
48 28 45 0
-71 -31 40 0
64 14 71 0
-4 -51 -64 0
-50 -27 -41 0
32 -30 -13 0
70 38 -49 0
10 -50 -47 0
-2 64 13 0
-36 39 12 0
-71 -68 -25 0
-49 -52 31 0
-53 -11 -39 0
-3 -56 -75 0
4 56 -27 0
-40 8 44 0
-5 -58 -59 0
17 45 55 0
55 -6 -39 0
53 15 -23 0
17 6 -3 0
-43 -67 28 0
17 -40 -12 0
-74 39 41 0
36 31 -67 0
-50 -15 -46 0
-51 -22 -33 0
24 27 29 0
4 -38 68 0
-12 68 -24 0
-27 -45 63 0
40 51 6 0
-74 -42 -47 0
61 -1 15 0
-22 -2 10 0
-32 24 17 0
-10 54 -38 0
63 -42 -74 0
-41 -7 -66 0
5 75 60 0
30 -65 -66 0
-35 48 -14 0
30 14 -59 0
17 2 -13 0
5 -42 -1 0
-22 18 63 0
17 -42 34 0
-12 41 -59 0
19 -29 -66 0
-10 -48 73 0
39 59 60 0
-32 -16 48 0
22 -59 -1 0
58 16 -1 0
68 41 -8 0
33 -22 14 0
-72 -20 -53 0
-39 35 10 0
-30 -55 31 0
21 -40 -24 0
61 21 -37 0
-64 63 36 0
51 -37 -16 0
-54 26 22 0
35 55 -5 0
-2 -41 -33 0
39 -72 -10 0
-44 -17 48 0
-51 -34 16 0
-8 5 51 0
72 52 5 0
53 8 56 0
15 74 -13 0
43 -7 71 0
57 -37 69 0
63 36 -9 0
-55 4 35 0
27 -46 69 0
30 -62 -15 0
-55 45 65 0
-56 -4 -71 0
75 12 39 0
11 -49 -62 0
45 -34 -68 0
9 19 38 0
22 41 -34 0
-36 62 -44 0
-14 -19 39 0
38 -46 -10 0
-68 6 21 0
-43 16 38 0
-11 34 -27 0
-41 26 -48 0
-69 36 62 0
-28 -8 -17 0
34 -8 6 0
-40 69 15 0
-39 -34 10 0
64 -61 68 0
6 19 -48 0
-33 -35 -1 0
-28 -26 -55 0
-72 -1 56 0
15 -23 63 0
7 56 14 0
33 -46 -3 0
45 20 -17 0
-69 -9 -28 0
1 22 -21 0
6 25 43 0
-56 -42 61 0
-68 -51 17 0
55 75 -56 0
-63 -18 1 0
1 -34 8 0
-71 50 -59 0
45 -41 -36 0
4 -2 42 0
-74 -75 -57 0
1 -64 -69 0
-49 -10 8 0
-39 -15 -54 0
-37 52 31 0
-71 -67 26 0
40 -68 -37 0
-20 56 73 0
20 22 75 0
-55 -47 -2 0
2 36 -24 0
-24 -2 74 0
-64 -12 15 0
51 -73 46 0
51 -47 75 0
43 -50 -63 0
57 63 48 0
-66 -75 1 0
-59 -70 71 0
-8 -71 29 0
-34 -57 -20 0
-43 -2 -27 0
23 3 -75 0
71 -63 74 0
1 -44 66 0
-64 -5 -18 0
55 12 75 0
-31 16 -68 0
-23 -17 15 0
-61 -25 2 0
-65 51 -61 0
55 -60 57 0
-22 67 -42 0
33 73 -10 0
-61 52 -49 0
8 66 -48 0
52 60 -12 0
-23 -14 -45 0
-18 7 -37 0
-8 -26 -33 0
-18 -20 -59 0
-5 -26 7 0
65 -48 55 0
25 42 -45 0
29 66 -36 0
-64 69 48 0
72 63 34 0
-14 -71 52 0
58 -34 -67 0
-34 14 -62 0
-60 13 15 0
-66 71 2 0
-1 -62 52 0
66 32 34 0
-9 37 45 0
36 37 -69 0
36 -26 60 0
-22 10 -52 0
-70 -30 45 0
43 -12 -24 0
62 50 63 0
4 -17 -35 0
-16 -45 -36 0
-34 -53 -20 0
45 71 6 0
64 48 54 0
-7 -46 -3 0
-40 -4 -8 0
13 -55 22 0
-16 40 -22 0
