c Random 3-SAT instance
c alpha = 4.0, N = 75, L = 300, instance = 269
p cnf 75 300
57 8 -54 0
-73 -32 49 0
13 73 63 0
-42 -20 1 0
23 -15 -27 0
-9 28 -62 0
27 -33 -30 0
46 35 -54 0
46 12 38 0
16 -42 -69 0
-70 36 -41 0
56 -22 -47 0
-41 34 42 0
-42 -15 -10 0
28 -23 -65 0
-16 5 -13 0
-3 -49 13 0
-60 32 -25 0
-64 67 6 0
20 75 35 0
12 16 34 0
-38 -39 -58 0
-8 -52 31 0
-16 30 -17 0
18 17 -67 0
-59 67 -53 0
-26 -6 1 0
73 -44 59 0
-2 -46 -49 0
-63 72 26 0
-51 13 -30 0
-44 3 35 0
-72 -1 -71 0
-44 30 45 0
-14 75 -49 0
-57 22 9 0
5 50 31 0
-34 59 -47 0
20 7 -63 0
-30 -27 -4 0
-66 13 56 0
71 -25 14 0
36 -10 2 0
-15 -38 -48 0
35 -46 -65 0
12 18 17 0
50 53 -8 0
63 -37 41 0
-7 66 -63 0
44 -34 6 0
15 -75 74 0
70 5 -12 0
53 36 -59 0
52 40 65 0
27 64 54 0
-16 -69 54 0
-32 56 66 0
-19 -61 2 0
14 -4 65 0
-44 47 27 0
-8 62 -61 0
-12 31 -69 0
75 14 40 0
20 70 24 0
-54 51 -37 0
-48 6 -5 0
37 70 51 0
56 71 -44 0
5 42 -4 0
-30 -6 -55 0
44 -28 -61 0
-18 -23 43 0
-41 -10 26 0
38 -69 45 0
-66 -14 47 0
-70 -4 61 0
-9 -72 -5 0
-59 51 18 0
-50 -71 -33 0
-18 -55 -2 0
-10 29 2 0
-20 3 72 0
22 37 30 0
-47 -37 66 0
-39 -15 -73 0
63 -19 -57 0
56 -1 -30 0
-36 -59 -34 0
-61 -33 22 0
8 31 -11 0
-47 -35 68 0
47 28 -61 0
12 53 -20 0
59 -44 42 0
48 -59 -34 0
44 73 28 0
-41 14 -69 0
22 15 43 0
55 41 63 0
31 28 -62 0
-22 71 68 0
-37 -61 64 0
14 33 47 0
19 8 52 0
-2 47 -24 0
-19 10 16 0
34 22 -15 0
-46 -17 -52 0
-11 40 57 0
7 14 4 0
50 21 55 0
-27 -8 48 0
48 16 -1 0
74 -68 49 0
-53 -11 20 0
61 -26 -68 0
25 -60 -51 0
46 20 -45 0
-61 70 63 0
-65 -25 59 0
-50 -15 -33 0
-21 35 16 0
-55 -27 59 0
75 -5 -40 0
11 -12 -24 0
-32 12 -17 0
33 -47 -61 0
-47 -59 69 0
33 -56 28 0
-42 -53 25 0
-25 -15 -60 0
-52 25 64 0
-22 -56 60 0
-37 -5 -58 0
29 -17 -68 0
-57 60 35 0
30 -63 -11 0
-38 64 69 0
30 -42 -56 0
7 37 62 0
-58 -25 10 0
49 -44 3 0
1 36 46 0
-57 -14 -7 0
14 -39 37 0
2 -72 70 0
-10 -13 -32 0
8 -65 70 0
48 65 54 0
-12 -63 -55 0
3 -70 -35 0
-31 -13 16 0
74 -5 -59 0
43 10 67 0
38 -6 50 0
8 -71 -60 0
-64 24 57 0
32 -11 -50 0
-59 51 69 0
10 -27 -46 0
-17 -40 -64 0
-50 -58 -62 0
-60 -68 -69 0
-26 54 7 0
-5 -31 -56 0
34 21 68 0
-9 -46 10 0
-24 6 -44 0
-19 75 -38 0
-53 -55 -41 0
-46 -45 -37 0
-12 -46 14 0
43 14 -12 0
-63 -60 -52 0
60 44 43 0
-72 20 18 0
48 -75 -12 0
-68 -10 -2 0
21 -14 -43 0
58 27 69 0
-69 -32 10 0
-61 -19 -51 0
-21 72 39 0
-2 70 66 0
-75 27 -32 0
73 75 -43 0
33 -44 -39 0
-27 -43 38 0
-28 -44 13 0
39 6 60 0
3 40 -36 0
-36 -7 62 0
-24 36 -44 0
58 -52 -50 0
-68 -26 69 0
-59 17 -68 0
-10 25 75 0
-12 73 7 0
-71 -17 -31 0
44 -31 -50 0
4 40 -16 0
-44 -64 45 0
37 19 74 0
-72 21 -54 0
46 -51 -74 0
2 -7 52 0
27 -50 3 0
-20 34 -52 0
-48 -69 -26 0
57 61 19 0
-17 23 -61 0
60 -69 13 0
38 -14 66 0
25 -67 -72 0
5 -75 -20 0
18 43 23 0
41 -22 -7 0
-13 -39 -23 0
57 22 8 0
2 -22 -62 0
-51 10 -12 0
-41 24 25 0
62 9 -28 0
-24 -52 10 0
10 23 -73 0
-14 32 23 0
-19 68 70 0
-11 -57 -3 0
