c Random 3-SAT instance
c alpha = 8.5, N = 75, L = 637, instance = 294
p cnf 75 637
23 64 34 0
-52 -13 66 0
20 33 55 0
-64 -51 -48 0
-62 -16 -10 0
19 35 -10 0
-7 -1 2 0
21 -28 -17 0
-37 30 -19 0
20 63 -15 0
-39 27 -12 0
15 -62 -40 0
73 64 38 0
-71 -13 -45 0
-27 -12 15 0
27 53 20 0
-3 -26 -28 0
-26 -36 49 0
-35 -69 -71 0
-40 49 -64 0
69 -42 -32 0
-54 -23 -44 0
71 -70 -64 0
5 31 -47 0
-50 -60 19 0
69 13 -65 0
-46 15 -34 0
-6 -2 -21 0
-55 -36 -62 0
55 -35 9 0
-11 64 17 0
25 14 -5 0
32 67 -42 0
69 -48 37 0
57 20 -75 0
62 13 17 0
-68 -60 -38 0
63 -45 -50 0
13 -49 43 0
-38 -31 -41 0
-47 73 -43 0
-43 -44 -18 0
-73 -5 -45 0
-8 30 59 0
20 75 -30 0
-53 -7 -65 0
2 -60 57 0
-2 48 56 0
-37 10 -30 0
-42 27 -9 0
48 -16 -38 0
-44 41 31 0
2 -33 56 0
38 -69 -61 0
-62 -33 5 0
12 -6 75 0
47 46 -41 0
-74 17 -73 0
5 -3 28 0
-3 -9 40 0
60 55 42 0
51 -48 68 0
-62 26 16 0
75 -60 74 0
-36 57 -35 0
-62 -72 -40 0
-33 63 60 0
35 -55 68 0
-3 30 28 0
50 -38 65 0
69 -8 -51 0
5 -42 -56 0
-21 28 39 0
32 -2 -15 0
66 39 -30 0
-75 -54 -63 0
-4 -43 72 0
61 43 -10 0
13 -12 29 0
53 68 65 0
-2 -44 -29 0
14 -68 22 0
13 -48 -20 0
10 -30 -51 0
-68 51 15 0
-5 -22 72 0
-39 -36 74 0
-5 43 23 0
-74 60 -18 0
40 50 1 0
-33 -6 -45 0
12 -30 -44 0
-12 -9 -23 0
1 -15 -40 0
22 33 -69 0
13 -72 -24 0
-30 -64 63 0
-7 -67 -36 0
44 48 -10 0
10 66 -1 0
53 -36 49 0
-5 21 44 0
1 -60 6 0
28 -64 -60 0
-2 56 -28 0
-8 72 57 0
65 -4 36 0
-37 8 18 0
42 47 -51 0
