c Random 3-SAT instance
c alpha = 6.5, N = 75, L = 487, instance = 65
p cnf 75 487
-17 33 -13 0
40 -42 36 0
-18 -12 7 0
2 -61 -23 0
-16 -40 68 0
37 55 -16 0
65 -26 40 0
40 -72 -42 0
52 21 -7 0
-55 16 -28 0
-42 61 19 0
27 -24 19 0
-59 -36 -66 0
52 -48 25 0
70 30 -28 0
4 26 11 0
6 -23 72 0
32 9 -41 0
72 -40 -63 0
-43 -24 -16 0
-22 52 -13 0
-71 28 10 0
74 50 71 0
2 -18 -33 0
-64 -32 -22 0
5 -7 74 0
-24 -20 65 0
-56 32 9 0
39 -5 -60 0
-17 -35 16 0
-32 19 21 0
-30 17 -72 0
59 -21 17 0
53 -39 19 0
31 -24 -72 0
-23 -46 36 0
64 31 -35 0
2 63 -10 0
70 5 18 0
-63 -20 26 0
40 15 -21 0
75 74 -56 0
-1 72 53 0
53 72 -36 0
-19 -48 10 0
-26 27 -50 0
-26 -3 4 0
25 36 37 0
69 53 -33 0
11 53 -65 0
-73 -15 65 0
-49 -55 -73 0
-39 60 -2 0
61 22 3 0
-5 -7 11 0
72 -33 -30 0
31 55 23 0
21 -44 -24 0
48 32 -13 0
12 72 9 0
53 -1 -22 0
10 -2 -53 0
62 -41 -50 0
48 18 -72 0
-34 -70 -35 0
-19 -51 -17 0
15 -29 -58 0
-12 -56 61 0
-24 -18 17 0
-70 -21 -54 0
14 -10 -73 0
-46 75 30 0
-25 -17 20 0
-22 -73 -24 0
34 13 64 0
14 41 -16 0
54 -70 41 0
-74 -37 59 0
-9 42 -50 0
-15 -18 48 0
-20 7 50 0
12 -74 -32 0
59 75 35 0
45 -14 39 0
-56 -22 67 0
33 7 14 0
-38 68 -34 0
-66 40 27 0
14 -65 -22 0
-45 36 34 0
35 -15 -24 0
38 -58 -71 0
46 -12 -71 0
-61 -75 60 0
65 -28 41 0
40 62 -5 0
-62 -29 -15 0
57 -29 -9 0
-8 -34 -21 0
25 61 17 0
-33 72 62 0
