c Random 3-SAT instance
c alpha = 9.0, N = 75, L = 675, instance = 255
p cnf 75 675
-45 21 -35 0
46 61 71 0
7 25 72 0
-60 -43 -72 0
-53 12 -43 0
-3 -50 -59 0
-9 -60 7 0
30 -4 73 0
-31 74 37 0
32 27 66 0
57 -60 -42 0
-72 -1 12 0
-18 11 -31 0
-45 -30 11 0
73 -35 -7 0
-2 -64 -26 0
-57 30 -13 0
64 34 61 0
16 26 42 0
-47 -8 -25 0
71 4 -67 0
-48 -52 25 0
71 -59 36 0
-9 20 -27 0
-16 43 -42 0
-10 -57 64 0
-30 37 12 0
-27 30 -36 0
-69 -23 46 0
-12 -5 6 0
-28 43 25 0
74 33 20 0
-66 74 -65 0
19 55 -44 0
57 4 -60 0
-35 47 -37 0
5 6 34 0
64 -13 28 0
-6 -13 22 0
-75 -66 -12 0
31 35 -14 0
18 8 -36 0
-68 -19 15 0
18 10 -60 0
-39 73 -50 0
74 -51 41 0
-35 -10 -1 0
-47 -44 4 0
55 -43 73 0
-30 -44 13 0
-64 -42 62 0
-64 -60 -31 0
-9 -14 6 0
38 -13 58 0
-34 -57 -37 0
71 44 41 0
-40 7 -14 0
42 73 46 0
-16 29 45 0
21 46 -50 0
-21 -63 -6 0
72 -17 -75 0
75 18 66 0
-36 63 -27 0
-4 -1 -14 0
73 74 -45 0
25 -60 -43 0
2 -12 -60 0
68 -66 -28 0
16 63 27 0
-58 -70 -73 0
-27 -1 25 0
16 45 29 0
-73 46 -47 0
45 54 -39 0
-19 29 40 0
-58 -54 -69 0
15 -74 12 0
53 30 -19 0
2 -36 40 0
54 61 33 0
41 69 -53 0
-36 43 -41 0
40 -15 -4 0
31 58 -20 0
45 71 69 0
50 39 70 0
-64 46 3 0
-62 -50 67 0
-69 45 -10 0
-40 -52 74 0
-72 -33 -17 0
73 10 -43 0
31 50 15 0
34 -59 18 0
18 65 -47 0
46 -60 -32 0
63 -54 34 0
63 6 19 0
42 -49 13 0
75 -33 -69 0
-37 -4 30 0
-3 44 -41 0
72 -9 -4 0
-1 -46 -40 0
64 41 54 0
49 -54 -12 0
-51 30 62 0
-1 45 -19 0
-62 54 23 0
-62 60 21 0
63 60 -12 0
62 -8 22 0
23 7 31 0
68 3 7 0
-58 35 -24 0
66 -18 -5 0
17 -28 -27 0
14 -74 53 0
-68 -30 -63 0
68 -11 32 0
28 12 24 0
34 5 63 0
70 58 -71 0
-21 -64 19 0
60 13 32 0
-67 -8 -47 0
5 -73 -41 0
-8 -37 35 0
-8 -35 -19 0
4 -57 -71 0
52 14 40 0
-36 48 9 0
-51 3 -38 0
51 40 19 0
44 -43 -16 0
-9 14 -12 0
-73 63 37 0
-15 -62 -70 0
40 -51 26 0
-63 -18 21 0
-34 -10 8 0
71 43 62 0
54 20 49 0
-74 -35 69 0
38 -16 9 0
-23 43 12 0
54 -68 -19 0
31 60 66 0
-24 -15 -42 0
51 -38 -60 0
-64 19 32 0
60 -47 52 0
32 -56 4 0
16 -68 -42 0
-31 68 -35 0
44 66 -68 0
8 72 -58 0
-28 -32 42 0
46 -52 73 0
60 50 -14 0
-9 24 -74 0
-38 19 25 0
49 -6 -1 0
-9 33 -27 0
-12 -3 -35 0
-54 -74 -72 0
-1 -46 -73 0
39 -67 -63 0
27 -40 62 0
-23 -5 -29 0
-69 2 -22 0
-64 -51 -54 0
19 -16 -45 0
30 -1 -4 0
3 -54 -16 0
40 -15 49 0
-38 72 -74 0
23 -40 -16 0
-57 -66 19 0
45 -15 -18 0
-40 -64 60 0
64 -20 65 0
-28 73 59 0
51 35 -31 0
-55 -53 -51 0
-24 -26 57 0
43 -20 -2 0
-63 -21 -49 0
-35 15 43 0
-21 -9 19 0
-11 -31 27 0
-5 43 60 0
-23 -67 44 0
-20 -2 18 0
17 -22 -57 0
-28 -36 -54 0
16 -49 29 0
