c Random 3-SAT instance
c alpha = 7.0, N = 75, L = 525, instance = 17
p cnf 75 525
-16 -59 74 0
-45 20 26 0
-50 27 48 0
29 -59 56 0
37 -45 18 0
-22 74 -4 0
-59 -15 -12 0
-33 -69 67 0
-29 23 -75 0
36 -69 42 0
-14 6 52 0
-67 33 -69 0
-63 -30 -13 0
51 -68 45 0
-64 10 24 0
-75 15 9 0
73 28 37 0
-46 56 48 0
-52 -29 74 0
-65 26 -37 0
-57 42 26 0
10 -34 58 0
25 37 -58 0
-39 60 -22 0
-27 -25 -71 0
44 60 17 0
-75 36 2 0
-63 -45 65 0
-61 -37 12 0
-23 70 -16 0
50 -66 -45 0
-59 68 57 0
-34 51 70 0
38 31 46 0
70 -42 48 0
-65 27 36 0
-57 -1 68 0
29 -42 59 0
52 -21 46 0
-11 -15 -8 0
-41 -22 63 0
-37 -2 48 0
-27 9 14 0
48 -29 45 0
61 -63 24 0
32 -40 34 0
4 3 51 0
-8 14 9 0
-18 -20 -53 0
16 18 9 0
-12 55 -71 0
21 28 16 0
56 -37 -22 0
-24 -73 69 0
22 -60 61 0
-43 18 1 0
-67 -7 51 0
22 -54 67 0
1 -69 57 0
54 -42 -36 0
54 33 -66 0
-29 -31 54 0
-38 66 -35 0
-51 73 -59 0
-1 -12 11 0
-70 -16 -33 0
37 -45 8 0
-21 -33 61 0
-42 15 54 0
53 -43 46 0
-65 -74 -45 0
15 -35 -52 0
44 33 75 0
-73 64 47 0
-41 -10 16 0
64 68 -38 0
35 69 41 0
8 44 -13 0
-6 -39 -54 0
67 -64 -32 0
-43 12 75 0
60 -64 -69 0
72 34 -11 0
62 -58 70 0
35 -40 -29 0
-64 56 6 0
-3 6 64 0
-12 60 -6 0
63 51 -10 0
-13 -7 29 0
-14 -25 -47 0
-29 -15 12 0
-18 -17 58 0
75 -43 8 0
-13 -36 -8 0
67 -19 -64 0
-57 36 -3 0
-14 -38 -1 0
-57 -11 52 0
23 7 51 0
47 45 -8 0
-21 55 57 0
6 56 53 0
-45 -26 -58 0
-28 -25 -73 0
40 38 -68 0
-39 -17 -45 0
34 -13 51 0
-39 72 -34 0
-48 -55 24 0
-59 -45 26 0
-29 9 -72 0
-12 61 69 0
-53 -45 66 0
64 43 32 0
-25 -46 6 0
49 9 -37 0
-5 -24 37 0
17 -65 48 0
-7 13 56 0
-25 -20 49 0
68 27 25 0
-72 -14 53 0
61 -18 -59 0
-4 19 11 0
-71 58 19 0
59 -15 -64 0
-62 24 -25 0
-53 -12 -3 0
11 28 4 0
-45 22 -31 0
13 -36 -26 0
41 20 37 0
66 24 -21 0
19 25 -30 0
11 28 26 0
27 -34 29 0
62 25 -70 0
-33 4 72 0
-17 -36 57 0
-33 -43 -14 0
50 15 13 0
-5 -62 -16 0
-42 -37 54 0
59 -63 -21 0
45 48 -64 0
72 21 -16 0
16 -63 -2 0
-27 -26 -58 0
37 -26 -53 0
-21 23 -74 0
71 20 56 0
41 -26 7 0
-51 -34 -11 0
22 -12 10 0
-11 74 65 0
46 -39 43 0
-43 64 71 0
-35 65 72 0
13 45 -48 0
-41 -54 11 0
64 -35 34 0
-2 8 51 0
-48 -45 -63 0
1 -13 28 0
71 42 2 0
8 31 -38 0
37 60 17 0
43 -23 -31 0
-24 35 -67 0
50 51 55 0
-43 -51 41 0
-57 17 -50 0
8 -53 55 0
-14 -47 8 0
-66 -18 57 0
22 -41 -6 0
-6 -2 19 0
